Block,Label
﻿The Project Gutenberg eBook of Le rêve et la vie - Les filles du feu - La  bohème galante      This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,2
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this ebook or online at www.gutenberg.org.",2
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",2
"Title: Le rêve et la vie - Les filles du feu - La bohème galante Author: Gérard de Nerval Release date: September 15, 2017 [eBook #55554] Language: French Credits: Produced by Laura Natal Rodriguez and Marc D'Hooghe at         Free Literature (online soon in an extended version,also         linking to free sources for education worldwide ...",2
"MOOC's,         educational materials,...) Images generously made available         by the Gallica, Bibliothèque nationale de France.) *** START OF THE PROJECT GUTENBERG EBOOK LE RÊVE ET LA VIE - LES FILLES DU  FEU - LA BOHÈME GALANTE *** Produced by Laura Natal Rodriguez and Marc D'Hooghe at Free Literature (online soon in an extended version,also linking to free sources for education worldwide ...",2
"MOOC's, educational materials,...) Images generously made available by the Gallica, Bibliothèque nationale de France.) LE RÊVE ET LA VIE LES FILLES DU FEU LA BOHÈME GALANTE PAR GÉRARD DE NERVAL PARIS MICHEL LÉVY FRÈRES, LIBRAIRES ÉDITEURS RUE VIVIENNE, 2 BIS, ET BOULEVARD DES ITALIENS, 15 A LA LIBRAIRIE NOUVELLE 1868 AURÉLIA PREMIÈRE PARTIE I Le rêve est une seconde vie.",2
Je n'ai pu percer sans frémir ces portes d'ivoire ou de corne qui nous séparent du monde invisible.,2
"Les premiers instants du sommeil sont l'image de la mort; un engourdissement nébuleux saisit notre pensée, et nous ne pouvons déterminer l'instant précis où le _moi,_ sous une autre forme, continue l'œuvre de l'existence.",2
"C'est un souterrain vague qui s'éclaire peu à peu, et où se dégagent de l'ombre et de la nuit les pâles figures gravement immobiles qui habitent le séjour des limbes.",2
"Puis le tableau se forme, une clarté nouvelle illumine et fait jouer ces apparitions bizarres; le monde des Esprits s'ouvre pour nous.",2
"Swedenborg appelait ces visions _Memorabilia;_ il les devait à la rêverie plus souvent qu'au sommeil; l'_Ane d'or,_ d'Apulée, _la Divine Comédie,_ du Dante, sont les modèles poétiques de ces études de l'âme humaine.",2
"Je vais essayer, à leur exemple, de transcrire les impressions d'une longue maladie qui s'est passée tout entière dans les mystères de mon esprit;--et je ne sais pourquoi je me sers de ce terme maladie, car jamais, quant à ce qui est de moi-même, je ne me suis senti mieux portant.",2
"Parfois, je croyais ma force et mon activité doublées; il me semblait tout savoir, tout comprendre; l'imagination m'apportait des délices infinies.",2
"En recouvrant ce que les hommes appellent la raison, faudra-t-il regretter de les avoir perdues?...",2
Cette _vita nuova_ a eu pour moi deux phases.,2
"Voici les notes qui se rapportent à la première.--Une dame que j'avais aimée longtemps et que j'appellerai du nom d'Aurélia, était perdue pour moi.",2
"Peu importent les circonstances de cet événement, qui devait avoir une si grande influence sur ma vie.",2
"Chacun peut chercher dans ses souvenirs l'émotion la plus navrante, le coup le plus terrible frappé sur l'âme par le destin; il faut alors se résoudre à mourir ou à vivre:--je dirai plus tard pourquoi je n'ai pas choisi la mort.",2
"Condamné par celle que j'aimais, coupable d'une faute dont je n'espérais plus le pardon, il ne me restait qu'à me jeter dans les enivrements vulgaires; j'affectai la joie et l'insouciance, je courus le monde, follement épris de la variété et du caprice; j'aimais surtout les costumes et les mœurs bizarres des populations lointaines, il me semblait que je déplaçais ainsi les conditions du bien et du mal; les termes, pour ainsi dire, de ce qui est _sentiment_ pour nous autres Français.",2
"«Quelle folie, me disais-je, d'aimer ainsi d'un amour platonique une femme qui ne vous aime plus!",2
"Ceci est la faute de mes lectures; j'ai pris au sérieux les inventions des poëtes, et je me suis fait une Laure ou une Béatrix d'une personne ordinaire de notre siècle...",2
"Passons à d'autres intrigues, et celle-là sera vite oubliée.» L'étourdissement d'un joyeux carnaval dans une ville d'Italie chassa toutes mes idées mélancoliques.",2
"J'étais si heureux du soulagement que j'éprouvais, que je faisais part de ma joie à tous mes amis, et, dans mes lettres, je leur donnais pour l'état constant de mon esprit ce qui n'était que surexcitation fiévreuse.",2
"Un jour, arriva dans la ville une femme d'une grande renommée qui me prit en amitié et qui, habituée à plaire et à éblouir, m'entraîna sans peine dans le cercle de ses admirateurs.",2
"Après une soirée où elle avait été à la fois naturelle et pleine d'un charme dont tous éprouvaient l'atteinte, je me sentis épris d'elle à ce point que je ne voulus pas tarder un instant à lui écrire.",2
J'étais si heureux de sentir mon cœur capable d'un amour nouveau!...,2
"J'empruntais, dans cet enthousiasme factice, les formules mêmes qui, si peu de temps auparavant, m'avaient servi pour peindre un amour véritable, et longtemps éprouvé.",2
"La lettre partie, j'aurais voulu la retenir, et j'allai rêver dans la solitude à ce qui me semblait une profanation de mes souvenirs.",2
Le soir rendit à mon nouvel amour tout le prestige de la veille.,2
"La dame se montra sensible à ce que je lui avais écrit, tout en manifestant quelque étonnement de ma ferveur soudaine.",2
"J'avais franchi, en un jour, plusieurs degrés des sentiments que l'on peut concevoir pour une femme avec apparence de sincérité.",2
Elle m'avoua que ma lettre l'étonnait tout en la rendant fière.,2
"J'essayai de la convaincre; mais, quoi que je voulusse lui dire, je ne pus ensuite retrouver dans nos entretiens le diapason de mon style, de sorte que je fus réduit à lui avouer, avec larmes, que je m'étais trompé moi-même en l'abusant.",2
"Mes confidences attendries eurent pourtant quelque charme, et une amitié plus forte dans sa douceur succéda à de vaines protestations de tendresse.",2
"II Plus tard, je la rencontrai dans une autre ville où se trouvait la dame que j'aimais toujours sans espoir.",2
"Un hasard les fit connaître l'une à l'autre, et la première eut occasion, sans doute, d'attendrir à mon égard celle qui m'avait exilé de son cœur.",2
"De sorte qu'un jour, me trouvant dans une société dont elle faisait partie, je la vis venir à moi et me tendre la main.",2
Comment interpréter cette démarche et le regard profond et triste dont elle accompagna son salut?,2
"J'y crus voir le pardon du passé; l'accent divin de la pitié donnait aux simples paroles qu'elle m'adressa une valeur inexprimable, comme si quelque chose de la religion se mêlait aux douceurs d'un amour jusque-là profane, et lui imprimait le caractère de l'éternité.",2
"Un devoir impérieux me forçait de retourner à Paris, mais je pris aussitôt la résolution de n'y rester que peu de jours et de revenir près de mes deux amies.",2
La joie et l'impatience me donnèrent alors une sorte d'étourdissement qui se compliquait du soin des affaires que j'avais à terminer.,2
"Un soir, vers minuit, je remontais un faubourg où se trouvait ma demeure, lorsque, levant les yeux par hasard, je remarquai le numéro d'une maison éclairé par un réverbère.",2
Ce nombre était celui de mon âge.,2
"Aussitôt, en baissant les yeux, je vis devant moi une femme au teint blême, aux yeux caves, qui me semblait avoir les traits d'Aurélia.",2
Je me dis: --C'est _sa mort_ ou la mienne qui m'est annoncée!,2
"Mais je ne sais pourquoi j'en restai à la dernière supposition, et je me frappai de cette idée, que ce devait être le lendemain à la même heure.",2
"Cette nuit-là, je fis un rêve qui me confirma dans ma pensée.",2
"J'errais dans un vaste édifice composé de plusieurs salles, dont les unes étaient consacrées à l'étude, d'autres à la conversation ou aux discussions philosophiques.",2
"Je m'arrêtai avec intérêt dans une des premières, où je crus reconnaître mes anciens maîtres et mes anciens condisciples.",2
"Les leçons continuaient sur les auteurs grecs et latins, avec ce bourdonnement monotone qui semble une prière à la déesse Mnémosine.--Je passai dans une autre salle, où avaient lieu des conférences philosophiques.",2
"J'y pris part quelque temps, puis j'en sortis pour chercher ma chambre dans une sorte d'hôtellerie aux escaliers immenses, pleine de voyageurs affairés.",2
"Je me perdis plusieurs fois dans les longs corridors, et, en traversant une des galeries centrales, je fus frappé d'un spectacle étrange.",2
"Un être d'une grandeur démesurée--homme ou femme, je ne sais,--voltigeait péniblement au-dessus de l'espace et semblait se débattre parmi des nuages épais.",2
"Manquant d'haleine et de force, il tomba enfin au milieu de la cour obscure, accrochant et froissant ses ailes le long des toits et des balustres.",2
Je pus le contempler un instant.,2
"Il était coloré de teintes vermeilles, et ses ailes brillaient de mille reflets changeants.",2
"Vêtu d'une robe longue à plis antiques, il ressemblait à l'ange de la Mélancolie, d'Albrecht Durer.--Je ne pus m'empêcher de pousser des cris d'effroi, qui me réveillèrent en sursaut.",2
"Le jour suivant, je me hâtai d'aller voir tous mes amis.",2
"Je leur faisais mentalement mes adieux, et, sans leur rien dire de ce qui m'occupait l'esprit, je dissertais chaleureusement sur des sujets mystiques; je les étonnais par une éloquence particulière, il me semblait que je savais tout, et que les mystères du monde se révélaient à moi dans ces heures suprêmes.",2
"Le soir, lorsque l'heure fatale semblait s'approcher, je dissertais avec deux amis, à la table d'un cercle, sur la peinture et sur la musique, définissant à mon point de vue la génération des couleurs et le sens des nombres.",2
"L'un d'eux, nommé Paul ***, voulut me reconduire chez moi, mais, je lui dis que je ne rentrais pas.",2
--Où vas-tu?,2
me dit-il.,2
--_Vers l'Orient_.,2
"Et, pendant qu'il' m'accompagnait, je me mis à chercher dans le ciel une étoile, que je croyais connaître, comme si elle avait quelque influence sur ma destinée.",2
"L'ayant trouvée, je continuai ma marche en suivant les rues dans la direction desquelles elle était visible, marchant pour ainsi dire au-devant de mon destin, et voulant apercevoir l'étoile jusqu'au moment où la mort devait me frapper.",2
"Arrivé cependant au confluent de trois rues, je ne voulus pas aller plus loin.",2
Il me semblait que mon ami déployait une force surhumaine pour me faire changer de place; il grandissait à mes yeux et prenait les traits d'un apôtre.,2
"Je croyais voir le lieu où nous étions s'élever et perdre les formes que lui donnait sa configuration urbaine;--sur une colline, entourée de vastes solitudes, cette scène devenait le combat de deux Esprits et comme une tentation biblique.",2
--Non!,2
"disais-je, je n'appartiens pas à ton ciel.",2
Dans cette étoile sont ceux qui m'attendent.,2
Ils sont antérieurs à la révélation que tu as annoncée.,2
"Laisse-moi les rejoindre, car celle que j'aime leur appartient, et c'est là que nous devons nous retrouver!",2
III Ici a commencé pour moi ce que j'appellerai l'épanchement du songe dans la vie réelle.,2
"A dater de ce moment, tout prenait parfois un aspect double,--et cela, sans que le raisonnement manquât jamais de logique, sans que la mémoire perdit les plus légers détails de ce qui m'arrivait.",2
"Seulement, mes actions, insensées en apparence, étaient soumises à ce que l'on appelle illusion, selon la raison humaine...",2
"Cette idée m'est revenue bien des fois, que, dans certains moments graves de la vie, tel Esprit du monde extérieur s'incarnait tout à coup en la forme d'une personne ordinaire, et agissait ou tentait d'agir sur nous, sans que cette personne en eût la connaissance ou en gardât le souvenir.",2
"Mon ami m'avait quitté, voyant ses efforts inutiles, et me croyant sans doute en proie à quelque idée fixe que la marche calmerait.",2
