Block,Label
﻿The Project Gutenberg eBook of Contes Français      This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.,3
"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this ebook or online at www.gutenberg.org.",3
"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook.",3
"Title: Contes Français Editor: Douglas Labaree Buffum Contributor: Honoré de Balzac         François Coppée         Alphonse Daudet         Erckmann-Chatrian         Théophile Gautier         Guy de Maupassant         Prosper Mérimée         Alfred de Musset Release date: July 19, 2004 [eBook #12949]                 Most recently updated: December 15, 2020 Language: French Credits: Produced by Renald Levesque *** START OF THE PROJECT GUTENBERG EBOOK CONTES FRANÇAIS *** Produced by Renald Levesque CONTES FRANÇAIS EDITED WITH NOTES AND VOCABULARY BY DOUGLAS LABAREE BUFFUM, PH.",3
D.,3
Professor of Romance Languages in Princeton University.,3
PREFACE.,3
"This edition of _Contes Français_ follows the lines of my edition of _French Short Stories_, published in 1907.",3
"The stories have been chosen from representative authors of the nineteenth century with a view to: (1) literary worth, (2) varied style and subject-matter, (3) large vocabulary, (4) interest for the student.",3
"The vocabulary is large (between 6000 and 7000 words); it is hoped that it will be found to be complete, with the exception of merely personal names, having no English equivalent and of no signification beyond the story in which they occur.",3
In a few instances words will be found in the text with special meanings; in these cases the vocabulary contains the usual signification as well as the special.,3
Irregularities in pronunciation are indicated in the vocabulary.,3
A knowledge of the elementary principles of French grammar on the part of the student is presupposed.,3
Consequently the notes contain few grammatical explanations.,3
"Repetition of rules that may be found in the ordinary grammars would be unnecessary, and the individual instructor will probably prefer to adapt this side of the work to the needs of each class, Or better still to the needs of each student.",3
Mere translations have also been avoided in the notes; the complete vocabulary will enable the student to do this work himself.,3
The body of the notes is devoted to the explanation of historical and literary references and to the explanation of difficult or exceptional grammatical constructions.,3
"A few general remarks have been made in connection with each author in order to point out his place in French literature; bibliographical material for more detailed information has been indicated and the principal works of each author have been mentioned, together with one or more editions of his works.",3
No alteration of any kind has been made in the French Text.,3
CONTENTS PRÉFACE MÉRIMÉE   L'ENLÈVEMENT DE LA REDOUTE   LE COUP DE PISTOLET MAUPASSANT   LA MAIN   UNE VENDETTA   L'AVENTURE DE WALTER SCHNAFFS   TOMBOUCTOU   EN MER   LES PRISONNIERS   LE BAPTÊME   TOINE   LE PÈRE MILON DAUDET   LE CURÉ DE CUCUGNAN   LE SOUS-PRÉFET AUX CHAMPS   LE PAPE EST MORT   UN RÉVEILLON DANS LE MARAIS   LA VISION DU JUGE DE COLMAR ERCKMANN-CHATRIAN   LA MONTRE DU DOYEN COPPÉE   LE LOUIS D'OR   L'ENFANT PERDU GAUTIER   LA MILLE ET DEUXIÈME NUIT BALZAC   UN DRAME AU BORD DE LA MER.,3
MUSSET   CROISILLES NOTES.,3
VOCABULARY.,3
"[Transcriber's note: Page numbers and line numbers have been retained to facilitate the location of the topics pointed to, in the ""Nldquo;Notes"" section.] CONTES FRANÇAIS Page 1 MÉRIMÉE L'ENLÈVEMENT DE LA REDOUTE Un militaire de mes amis, qui est mort de la fièvre en Grèce il y a quelques années, me conta un jour la première affaire à laquelle il avait assisté.",3
"Son récit me frappa tellement, que je l'écrivis de mémoire aussitôt que j'en [5]eus le loisir.",3
Le voici: Je rejoignis le régiment le 4 septembre au soir.,3
Je trouvai le colonel au bivac.,3
"Il me reçut d'abord assez brusquement; mais, après avoir lu la lettre de recommandation du général B * * *, il changea de manières, et [10]m'adressa quelques paroles obligeantes.",3
"Je fus présenté par lui à mon capitaine, qui revenait à l'instant même d'une reconnaissance.",3
"Ce capitaine, que je n'eus guère le temps de connaître, était un grand homme brun, d'une physionomie dure et repoussante.",3
"Il avait été simple soldat, et avait gagné ses épaulettes et sa croix [15]sur les champs de bataille.",3
"Sa voix, qui était enrouée et faible, contrastait singulièrement avec sa stature presque gigantesque.",3
On me dit qu'il devait cette voix étrange à une balle qui l'avait percé de part en part à la bataille [20]d'Iéna.,3
"En apprenant que je sortais de l'école de Fontainebleau, il fit la grimace et dit: Page 2 --Mon lieutenant est mort hier...",3
"Je compris qu'il voulait dire: «C'est vous qui devez le remplacer, et vous n'en êtes pas capable.» Un mot piquant me vint sur les lèvres, mais je me contins.",3
"[5]La lune se leva derrière la redoute de Cheverino, située à deux portées de canon de notre bivac.",3
Elle était large et rouge comme cela est ordinaire à son lever.,3
"Mais, ce soir-là elle me parut d'une grandeur extraordinaire.",3
"Pendant un instant, la redoute se détacha en noir sur le disque [10]éclatant de la lune.",3
Elle ressemblait au cône d'un volcan au moment de l'éruption.,3
"Un vieux soldat, auprès duquel je me trouvais, remarqua la couleur de la lune.",3
"--Elle est bien rouge, dit-il; c'est signe qu'il en coûtera [15]bon pour l'avoir, cette fameuse redoute!",3
"J'ai toujours été superstitieux, et cet augure, dans ce moment surtout, m'affecta.",3
"Je me couchai, mais je ne pus dormir.",3
"Je me levai, et je marchai quelque temps, regardant l'immense ligne de feux qui couvrait les hauteurs au delà du village [20]de Cheverino.",3
"Lorsque je crus que l'air frais et piquant de la nuit avait assez rafraîchi mon sang, je revins auprès du feu; je m'enveloppai soigneusement dans mon manteau, et je fermai les yeux, espérant ne pas les ouvrir avant le jour.",3
[25]Mais le sommeil me tint rigueur.,3
Insensiblement mes pensées prenaient une teinte lugubre.,3
Je me disais que je n'avais pas un ami parmi les cent mille hommes qui couvraient cette plaine.,3
"Si j'étais blessé, je serais dans un hôpital, traité sans égards par des chirurgiens ignorants.",3
Ce que [30]j'avais entendu dire des opérations chirurgicales me revint à la mémoire.,3
"Mon coeur battait avec violence, et machinalement je disposais, comme une espèce de cuirasse, Page 3 le mouchoir et le portefeuille que j'avais sur la poitrine.",3
"La fatigue m'accablait, je m'assoupissais à chaque instant, et à chaque instant quelque pensée sinistre se reproduisait avec plus de force et me réveillait en sursaut.",3
"[5]Cependant la fatigue l'avait emporté, et, quand on battit la diane, j'étais tout à fait endormi.",3
"Nous nous mimes en bataille, on fit l'appel, puis on remit les armes en faisceaux, et tout annonçait que nous allions passer une journée tranquille.",3
"[10]Vers trois heures, un aide de camp arriva, apportant un ordre.",3
"On nous fit reprendre les armes; nos tirailleurs se répandirent dans la plaine; nous les suivîmes lentement, et, au bout de vingt minutes, nous vîmes tous les avant-postes des Russes se replier et rentrer dans la redoute.",3
"[15]Une batterie d'artillerie vint s'établir à notre droite, une autre à notre gauche, mais toutes les deux bien en avant de nous.",3
"Elles commencèrent un feu très vif sur l'ennemi, qui riposta énergiquement, et bientôt la redoute de Cheverino disparut sous des nuages épais de fumée.",3
[20]Notre régiment était presque à couvert du feu des Russes par un pli de terrain.,3
"Leurs boulets, rares d'ailleurs pour nous (car ils tiraient de préférence sur nos canonniers), passaient au-dessus de nos têtes, ou tout au plus nous envoyaient de la terre et de petites pierres.",3
"[25]Aussitôt que l'ordre de marcher en avant nous eut été donné, mon capitaine me regarda avec une attention qui m'obligea à passer deux ou trois fois la main sur ma jeune moustache d'un air aussi dégagé qu'il me fut possible.",3
"Au reste, je n'avais pas peur, et la seule crainte que [30]j'éprouvasse, c'était que l'on ne s'imaginât que j'avais peur.",3
Ces boulets inoffensifs contribuèrent encore à me maintenir dans mon calme héroïque.,3
"Mon amour-propre Page 4 me disait que je courais un danger réel, puisque enfin j'étais sous le feu d'une batterie.",3
"J'étais enchanté d'être si à mon aise, et je songeai au plaisir de raconter la prise de la redoute de Cheverino, dans le salon de madame de [5]B * * *, rue de Provence.",3
"Le colonel passa devant notre compagnie; il m'adressa la parole: «Eh bien, vous allez en voir de grises pour votre début.» Je souris d'un air tout à fait martial en brossant la [10]manche de mon habit, sur laquelle un boulet, tombé à trente pas de moi, avait envoyé un peu de poussière.",3
Il parut que les Russes s'aperçurent du mauvais succès de leurs boulets; car ils les remplacèrent par des obus qui pouvaient plus facilement nous atteindre dans le creux où [15]nous étions postés.,3
Un assez gros éclat m'enleva mon schako et tua un homme auprès de moi.,3
